date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2017-12-31,0.0,1490.33,588.8620500000001,2026.2400000000002,1013.1200000000001,1666.6666666666667,6785.218716666667
2018-01-01,0.0,1427.36,545.5128000000001,1661.4720000000002,830.7360000000001,1666.6666666666667,6131.747466666668
2018-01-02,0.0,4095.5099999999998,524.8575500000001,5882.102000000001,2941.0510000000004,1666.6666666666667,15110.187216666667
2018-01-03,0.0,4824.24,445.07435000000004,7182.214,3591.107,1666.6666666666667,17709.30201666667
2018-01-04,0.0,5022.33,511.72870000000006,7876.59,3938.295,1666.6666666666667,19015.610366666668
2018-01-05,0.0,4402.6,1212.8746,6240.8460000000005,3120.4230000000002,1666.6666666666667,16643.41026666667
2018-01-06,0.0,4971.61,1191.9467000000002,6516.256,3258.128,1666.6666666666667,17604.607366666667
2018-01-07,0.0,4485.11,1317.1459,6783.624000000001,3391.8120000000004,1666.6666666666667,17644.358566666666
2018-01-08,0.0,6454.25,1052.1675500000001,9035.244,4517.622,1666.6666666666667,22725.950216666668
2018-01-09,0.0,5138.63,1210.5107,7056.639999999999,3528.3199999999997,1666.6666666666667,18600.767366666667
2018-01-10,0.0,6326.73,1287.4491000000003,8915.074,4457.537,1666.6666666666667,22653.45676666667
2018-01-11,0.0,6244.24,1601.9619000000002,9239.702000000001,4619.851000000001,1666.6666666666667,23372.421566666668
2018-01-12,0.0,5944.03,1485.4833,7386.592000000001,3693.2960000000003,1666.6666666666667,20176.067966666666
2018-01-13,0.0,4571.98,1398.82085,6500.9220000000005,3250.4610000000002,1666.6666666666667,17388.85051666667
2018-01-14,0.0,4356.2,1318.3187500000001,7012.810000000001,3506.4050000000007,1666.6666666666667,17860.400416666667
2018-01-15,0.0,6444.49,1270.8633,8856.800000000001,4428.400000000001,1666.6666666666667,22667.21996666667
2018-01-16,988191.8640000001,6856.8,1237.9185,10225.858,5112.929,1666.6666666666667,1013292.0361666668
2018-01-17,0.0,6039.03,1511.8054000000002,8394.748,4197.374,1666.6666666666667,21809.624066666667
2018-01-18,0.0,4984.62,1391.44075,6553.058000000001,3276.5290000000005,1666.6666666666667,17872.314416666668
